Check Dup,Restaurant ID,Restaurant Name,Cuisine Keywords,Chain (Y/N),Address,City,Neighborhood,Google Maps Link,Profile Picture,Operational (Y/N),Coordinates
1,ELBUCANE,El Bucanero - Marbach,Mexican,No,"8300 Marbach Rd, San Antonio, TX 78227",San Antonio,West Side,"https://www.google.com/maps/place/El+Bucanero+-+Marbach/@29.4167662,-98.6577482,17z/data=!3m1!4b1!4m6!3m5!1s0x865c5caa3a9d3441:0x5da4d2df7042ae21!8m2!3d29.4167616!4d-98.6551733!16s%2Fg%2F11dft0zswk?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipOi6EeFHcJjZbRMIrRh4WgxlDXM91BDRcMefP1M=w408-h306-k-no,Yes,"29.4167662,-98.6577482"
1,ELCHAPAR,El Chaparral Mexican Restaurant,Mexican,Yes,"15103 Bandera Rd, Helotes, TX 78023",Helotes,Helotes,"https://www.google.com/maps/place/El+Chaparral+Mexican+Restaurant+-+Helotes/@29.5834372,-98.6944782,17z/data=!4m15!1m8!3m7!1s0x865c68da956788cb:0xfd1eb13af949bb75!2s15103+Bandera+Rd,+Helotes,+TX+78023!3b1!8m2!3d29.5834372!4d-98.6944782!16s%2Fg%2F11bw4004w9!3m5!1s0x865c68da95fd0acf:0xfca5dbcc4f5ee1da!8m2!3d29.5834575!4d-98.6945248!16s%2Fg%2F1tjhy24d?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipM84UXGm_KIh_pdQlgTVnzRaiDothX-sM3UZ_C0=w408-h271-k-no,Yes,"29.5834372,-98.6944782"
1,ELMIRASO,El Mirasol At Napa Oaks,Mexican,Yes,"27650 I-10 Suite 115, Boerne, TX 78015",Boerne,Boerne (greater Boerne area),"https://www.google.com/maps/place/El+Mirasol+At+Napa+Oaks/@29.7098924,-98.6596838,17z/data=!4m15!1m8!3m7!1s0x865c7aa11e363b89:0x450cb73eb8ee09a1!2s27650+I-10,+Boerne,+TX+78015!3b1!8m2!3d29.7096268!4d-98.6572107!16s%2Fg%2F11vhgyckvp!3m5!1s0x865c7bc727ca264f:0x2f120f237fdd9a9d!8m2!3d29.7098924!4d-98.6574951!16s%2Fg%2F11stg306y8?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipMhGKZ2pCgjK3eWDN4kApfF0h9owYx_PKUVTn4l=w408-h408-k-no,Yes,"29.7098924,-98.6596838"
1,ELMONTEB,El Monte BBQ,"Mexican, BBQ",No,"6526 Bandera Rd, San Antonio, TX 78238",San Antonio,Leon Valley,"https://www.google.com/maps/place/El+Monte+BBQ/@29.4924407,-98.6158503,17z/data=!4m15!1m8!3m7!1s0x865c5d9dfecdd9cf:0x4a962d3a10516b4c!2s6526+Bandera+Rd,+San+Antonio,+TX+78238!3b1!8m2!3d29.4924407!4d-98.6158503!16s%2Fg%2F11bw3_nyql!3m5!1s0x865c5d9dfece23a1:0x9f03abb7d23aa00b!8m2!3d29.492423!4d-98.61586!16s%2Fg%2F11f322r8d8?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipOr6izPc5lLHFBNOW7ksUT6mblSaboqwAKaQfAU=w408-h371-k-no,Yes,"29.4924407,-98.6158503"
1,ELRANCHI,El Ranchito,Mexican,No,"19530 US-281, San Antonio, TX 78221",San Antonio,South Side,"https://www.google.com/maps/place/The+Ranchito/@29.2291527,-98.4774539,17z/data=!4m15!1m8!3m7!1s0x865cff5a926afae5:0x19ff3e3cbd347ae6!2s19530+US-281,+San+Antonio,+TX+78221!3b1!8m2!3d29.2291554!4d-98.4752223!16s%2Fg%2F11bw3xsgmb!3m5!1s0x865cff2092de58b7:0xce6b5716cf959a20!8m2!3d29.2291527!4d-98.4752652!16s%2Fg%2F11vcvdc0f0?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipOctOgewiQY_0OVt9TOJmnRHKCHYXLfi_hvyvqG=w408-h306-k-no,Yes,"29.2291527,-98.4774539"
1,EMPANADA,Empanadas De Aca (EDA),"Latin, Colombian",No,"9703 Bandera Rd suite 303 B, San Antonio, TX 78250",San Antonio,Northwest Side,"https://www.google.com/maps/place/Empanadas+De+Ac%C3%A1+-+ED%C3%81/@29.5327357,-98.6549479,17z/data=!4m16!1m9!3m8!1s0x865c67c350092313:0x1eb824ce7a903015!2s9703+Bandera+Rd,+San+Antonio,+TX+78250!3b1!8m2!3d29.5352496!4d-98.648031!10e3!16s%2Fg%2F11c5jqhsbd!3m5!1s0x865c67ded2730691:0x5204b39812cd790!8m2!3d29.5352496!4d-98.648031!16s%2Fg%2F11y1slmmhk?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipOKKQRNsYQuGGE0RuOdcmMqojbFCRd8gwKAHJLa=w408-h306-k-no,Yes,"29.5327357,-98.6549479"
1,FATBOTTO,Fat Bottom Grill,"American, Food Truck, Burger",No,"621 Chandler St, Blanco, TX 78606",Blanco,Blanco (Downtown),"https://www.google.com/maps/place/Fat+Bottom+Grill/@30.095614,-98.425614,17z/data=!4m15!1m8!3m7!1s0x865b77422c196953:0xc2214f967e84071d!2s621+Chandler+St,+Blanco,+TX+78606!3b1!8m2!3d30.0905642!4d-98.4161093!16s%2Fg%2F11c1bvc3tz!3m5!1s0x865b778954d9d68d:0x76b720b52c3b34ed!8m2!3d30.0905642!4d-98.4161093!16s%2Fg%2F11vb3b1klt?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipPmePtyVK1xlp8QKED8MXt4D1ZlSwmxWz3VaPyW=w408-h293-k-no,Yes,"30.0956140,-98.4256140"
1,FLORIOSP,Florio's Pizza,"Pizza, Italian",No,"7701 Broadway, San Antonio, TX 78209",San Antonio,Alamo Heights,"https://www.google.com/maps/place/Florio's+Pizza+Inc,/@29.5017357,-98.4659479,17z/data=!4m15!1m8!3m7!1s0x865cf541666f8279:0x17a4a51cf2cb118a!2s7701+Broadway,+San+Antonio,+TX+78209!3b1!8m2!3d29.499817!4d-98.4671821!16s%2Fg%2F11b8v4j3fm!3m5!1s0x865cf5415fb11e71:0xee440a384633635a!8m2!3d29.4997353!4d-98.4674603!16s%2Fg%2F1tdlc44k?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipNVVm-68W9w9__MW6qAXQ0cV9LyiCiC00WOWG7J=w408-h306-k-no,Yes,"29.5017357,-98.4659479"
1,GARCIASB,Garcia’s Barbecue,BBQ,No,"9390 Huebner Rd, San Antonio, TX 78240",San Antonio,Northwest Side,"https://www.google.com/maps/place/Garcia+Barbecue/@29.5299495,-98.5929858,17z/data=!4m15!1m8!3m7!1s0x865c6741c6b6d5c3:0x91cfcc96e68e91fc!2s9390+Huebner+Rd,+San+Antonio,+TX+78240!3b1!8m2!3d29.5299495!4d-98.5929858!16s%2Fg%2F11pw0hh7c5!3m5!1s0x865c673c41d808c5:0xdeedc5b6e847ff33!8m2!3d29.5298375!4d-98.5931432!16s%2Fg%2F11ht6p41v1?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipPd9LTsy0dVWgszJWJ15wXZkqV86ttxcqaLN5-u=w408-h544-k-no,Yes,"29.5299495,-98.5929858"
1,GARCIASM,Garcia's Mexican Food,Mexican,No,"842 Fredericksburg Rd, San Antonio, TX 78201",San Antonio,West Side,"https://www.google.com/maps/place/Garcia's+Mexican+Food+To+Go/@29.4467357,-98.5199479,17z/data=!4m15!1m8!3m7!1s0x865c5f16c6f49879:0x276cc85af5d46ffd!2s842+Fredericksburg+Rd,+San+Antonio,+TX+78201!3b1!8m2!3d29.4517376!4d-98.5133157!16s%2Fg%2F11b8vgp4gb!3m5!1s0x865c5f16c6f18d63:0x243bce48bd434345!8m2!3d29.4517414!4d-98.5133213!16s%2Fg%2F1tf_nqp6?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipMIOAkgBkHH7M0haaErYpR8peefFdd1spe2cpUw=w408-h306-k-no,Yes,"29.4467357,-98.5199479"
1,GENNAROS,Gennaro’s Trattoria,Italian,No,"10018 Startz Rd, Canyon Lake, TX 78133",New Braunfels,Canyon Lake Area,"https://www.google.com/maps/place/Gennaro's+Trattoria/@29.8400548,-98.2764416,16z/data=!3m2!4b1!5s0x865c9cf05cdb28b3:0x4e952128347ead6e!4m6!3m5!1s0x865c9cf05c1a220f:0xdac52efdb75a079f!8m2!3d29.8400502!4d-98.2738667!16s%2Fg%2F11h0xb73s?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipOKq8wtL1raoG9GySsssODkN8ee7UB5Q5GD_TQW=w408-h306-k-no,Yes,"29.8400548,-98.2764416"
1,GINOSDEL,Gino's Deli,"Deli, American",No,"13210 Huebner Rd, San Antonio, TX 78230",San Antonio,Northwest Side,"https://www.google.com/maps/place/Gino's+Deli+@+Stop+%26+Buy/@29.5644436,-98.5575485,17z/data=!4m6!3m5!1s0x865c612683446f3f:0x39873d76b1621ebb!8m2!3d29.5644436!4d-98.5575485!16s%2Fg%2F1tc_92h2?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipPj9Rb4YFcRfXS_z-wapnl1mUFYza8DYagaDKLp=w408-h305-k-no,Yes,"29.5644436,-98.5575485"
1,GIUSEPPE,Giuseppe's Italian Grill Crestway,Italian,No,"5121 Crestway Dr, San Antonio, TX 78239",San Antonio,Windcrest,"https://www.google.com/maps/place/Giuseppe's+Italian+Grill+Crestway/@29.523928,-98.3907492,17z/data=!3m1!4b1!4m6!3m5!1s0x865c8d184ada599b:0x3d8cf8948de32a09!8m2!3d29.523928!4d-98.3881743!16s%2Fg%2F11vt1b0j8r?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipNCFvTWKAi-GcCbT1z2n26Z4fYZSYW2qMmUPdIr=w408-h306-k-no,Yes,"29.5239280,-98.3907492"
